,0
sep_10_1,2.5991347583898363e-33
h1_n_b_l_t0.95_11_1,2.6185741711785597e-33
m_t0.05_11_4,4.0019844042761655e-33
v_t0.5_10_11,4.173609237758937e-33
h0_t_d_11_4,4.728724392263245e-33
h1_n_b_m_t0.25_11_1,5.1854564813044676e-33
h1_nb_11_1,5.1854564813044676e-33
c_t0.025_10_11,5.288949363942992e-33
b0_t0.25_11_5,5.603373158842901e-33
h0_n_d_m_t0.75_11_5,6.137103013542985e-33
b0_t0.25_11_1,6.165643127193092e-33
h0_n_d_m_t0.75_11_1,7.083960535471018e-33
h1_n_b_m_t0.25_10_2,7.907190283341383e-33
h1_nb_10_2,7.907190283341383e-33
b1_t0.025_10_11,9.469342712174446e-33
h1_n_b_l_t0.95_10_2,9.997020921712075e-33
h1_n_b_l_t0.95_10_11,1.0006309427532393e-32
v_t0.5_11_6,1.1438067681014758e-32
v_t0.1_11_11,1.1718457277005519e-32
c_t0.025_11_10,1.3841227076731496e-32
c_t0.1_11_4,1.6695835349577032e-32
v_t0.025_11_10,1.6848586534098522e-32
b1_t0.025_11_6,1.7102356356756694e-32
c_t0.05_10_11,1.788341595468577e-32
c_t0.025_10_2,1.7994187312740253e-32
h1_e_10_7,1.8458118768710882e-32
h1_s_10_2,1.8839574607485176e-32
c_t0.25_11_11,1.8928281896840675e-32
self_11_1,2.2736169593602692e-32
e_t0.05_11_4,2.279572929880975e-32
b1_t0.25_11_4,3.0149773708579924e-32
m_t0.05_10_11,3.05248060422782e-32
b0_t0.75_11_1,3.530872381953902e-32
h1_e_11_3,3.731321259763699e-32
h1_e_10_1,4.296961755713997e-32
h0_t_d_10_10,4.501007590437157e-32
c_t0.05_11_4,4.8462182068180574e-32
b1_t0.25_10_11,5.122094976428831e-32
prev_11_6,5.702343446171502e-32
c_t0.05_11_10,6.400479105847769e-32
h0_s_10_4,8.460537441847526e-32
h1_e_11_2,1.141714419267177e-31
h1_s_11_1,1.190478373076179e-31
sep_11_7,1.4561228958951885e-31
e_t0.05_10_11,1.5481550430614558e-31
v_t0.5_11_4,1.7183125858280136e-31
v_t0.5_11_1,1.723998364167949e-31
m_t0.1_11_6,1.7326863340511266e-31
c_t0.1_10_11,1.7528970709524184e-31
prev_10_7,2.0271152436597025e-31
e_t0.025_11_6,2.248085663705489e-31
h1_e_10_6,2.42680292834922e-31
v_t0.1_11_4,2.615261882607665e-31
b0_t0.75_11_4,2.851566561511745e-31
h1_n_b_m_t0.25_10_6,3.3481441617401873e-31
h1_nb_10_6,3.3481441617401873e-31
h1_e_10_2,4.087428668309089e-31
b1_t0.05_10_4,4.525264031745197e-31
b1_t0.025_11_4,4.948412006274494e-31
h1_v_11_3,5.437082342919554e-31
