,0
dot_10_9,1.012526830725691e-20
c_t0.25_10_6,1.12598056883149e-20
e_t0.25_11_3,1.2518604553626583e-20
k_t0.25_11_6,1.8317549458989606e-20
dot_9_7,2.4405769983409824e-20
e_t0.5_11_7,2.6644062955903992e-20
h1_n_b_l_t0.70_11_5,2.88874109524561e-20
k_t0.05_10_3,3.2528122590712044e-20
v_t0.25_10_2,8.882591086204068e-20
dot_10_0,9.997935543095996e-20
h0_t_d_10_2,1.0575547355556848e-19
h1_s_11_6,1.2751953208982055e-19
beginning_11_10,2.5178065975099747e-19
v_t0.5_11_7,2.775769360955703e-19
v_t0.25_11_11,2.7945781928816063e-19
m_t0.05_11_10,2.872245322596477e-19
m_t0.05_11_5,3.311887937392263e-19
b1_t0.05_11_10,4.209972280545877e-19
c_t0.025_10_3,4.911179264971423e-19
k_t0.1_11_3,6.151008203535684e-19
b0_t0.25_11_5,6.934222660129093e-19
beginning_10_11,7.140553001580606e-19
h0_t_d_11_1,7.5692961946686555e-19
m_t0.1_11_1,7.607143899835974e-19
h0_n_d_m_t0.75_11_5,8.388283218224664e-19
h1_v_11_6,9.059805866241528e-19
k_t0.1_11_5,1.032327065230269e-18
e_t0.5_11_10,1.0347900913178594e-18
v_t0.05_11_6,1.235310078141755e-18
k_t0.1_11_10,1.4875337310345856e-18
h1_t_b_11_0,1.5253671890226534e-18
beginning_10_4,2.2803254925111084e-18
dot_11_0,2.7285390549414808e-18
e_t0.5_11_9,3.415230944349908e-18
h1_n_b_l_t0.70_11_1,3.499243982300883e-18
v_t0.025_11_6,6.241496444081034e-18
v_t0.5_11_10,6.396790749354865e-18
h1_e_10_3,6.95855311204131e-18
v_t0.25_11_7,7.783889029565627e-18
h1_n_b_l_t0.95_10_6,9.408201662255814e-18
c_t0.1_9_11,9.738412588817945e-18
c_t0.1_10_3,1.1250145297928466e-17
b1_t0.25_11_9,1.2568315194181186e-17
prev_11_10,1.3313054457250348e-17
b0_t0.25_11_7,1.3348444786818024e-17
v_t0.1_11_5,1.3550163616740412e-17
e_t0.25_11_2,1.461766396115777e-17
b0_t0.5_10_3,1.4712493019365338e-17
v_t0.5_11_9,1.5123243576428317e-17
h0_n_d_m_t0.75_11_7,1.576128766637429e-17
v_t0.25_11_10,1.6181790344684724e-17
h1_v_10_3,1.7788545569324288e-17
h0_n_d_m_t0.5_10_3,1.9107231976791785e-17
e_t0.05_11_9,2.1423562277999865e-17
h1_n_b_m_t0.25_10_6,2.192195804179498e-17
h1_nb_10_6,2.192195804179498e-17
c_t0.025_10_7,2.4641854652837064e-17
m_t0.025_11_9,2.5053745028678982e-17
b1_t0.025_11_5,2.8004531939989495e-17
k_t0.25_11_5,2.945368490520965e-17
c_t0.05_10_6,2.965223724285919e-17
b0_t0.25_11_6,4.315792919194674e-17
h1_n_b_l_t0.70_11_10,4.4534677142031785e-17
v_t0.25_11_8,4.4913018332199837e-17
b0_t0.25_11_10,4.677187381732791e-17
h0_n_d_m_t0.75_11_6,5.2064526258381444e-17
prev_11_0,5.623994697400792e-17
m_t0.1_11_3,5.67287788334353e-17
v_t0.1_11_10,6.098599427062501e-17
b1_t0.025_11_10,7.191852999178358e-17
v_t0.1_11_1,7.25896192365854e-17
h0_n_d_m_t0.75_11_10,7.288935444254965e-17
v_t0.05_11_7,1.0780276424707433e-16
e_t0.25_11_5,1.0829547304827501e-16
dot_9_10,1.292856054246257e-16
h1_t_b_11_7,1.373803408576635e-16
dot_11_8,2.138280861578096e-16
next_11_2,2.160582679555614e-16
v_t0.05_10_6,2.1797240811416742e-16
c_t0.1_10_6,2.2071658164814228e-16
v_t0.05_11_8,2.495536910649516e-16
b1_t0.025_11_1,2.599659067711846e-16
c_t0.05_11_11,2.664812602519983e-16
dot_10_1,2.7480762509972795e-16
h1_s_11_5,2.8032192183926064e-16
next_11_0,2.873546163742031e-16
c_t0.05_10_7,3.3064191617701586e-16
e_t0.25_11_0,3.4381130975832696e-16
k_t0.25_11_1,3.6271024105074733e-16
b1_t0.1_11_1,3.793522524728101e-16
e_t0.025_11_9,4.3515299971940285e-16
h1_s_11_2,4.366817022482115e-16
m_t0.05_11_1,4.40790557235716e-16
s_t0.025_10_8,4.662572068701674e-16
m_t0.1_11_2,5.146316609768946e-16
s_t0.025_10_2,5.163723946819875e-16
h1_s_11_1,8.729775860692554e-16
h1_v_11_11,1.0602602423556658e-15
v_t0.1_10_3,1.1734705208451966e-15
sep_9_6,1.2651997770398819e-15
dot_9_4,2.172513525828408e-15
m_t0.5_11_2,2.4805464553138486e-15
v_t0.025_10_6,2.6681202805205654e-15
h1_e_11_6,2.7778565650068114e-15
b1_t0.05_11_7,2.8807295556225432e-15
s_t0.05_10_6,3.3033512773924854e-15
c_t0.05_10_3,4.539182108206137e-15
sep_8_9,4.555250046069459e-15
b1_t0.05_11_2,4.758009412476464e-15
b1_t0.25_11_0,5.095167996717065e-15
h1_e_11_9,5.114775641550989e-15
k_t0.05_11_3,5.964301869220768e-15
h1_t_b_11_11,6.323907742273576e-15
c_t0.025_10_2,7.362659143236236e-15
c_t0.05_10_8,7.41389297960441e-15
h1_s_11_0,8.318303745965613e-15
self_10_11,8.756877572058688e-15
sep_11_8,8.793716887689456e-15
e_t0.05_11_5,1.0436542557799444e-14
b1_t0.025_11_7,1.281947557835533e-14
b0_t0.1_10_2,1.3042396180586464e-14
e_t0.5_10_3,1.4212042709490787e-14
b1_t0.25_11_5,1.9045297048696194e-14
sep_11_7,1.9824710451977507e-14
h1_t_b_11_2,2.134972134022444e-14
b1_t0.1_11_0,2.4382523148729787e-14
h1_t_b_11_3,2.5268595501880063e-14
h0_t_d_11_10,2.935305054245084e-14
h1_e_10_6,3.4208534326994406e-14
e_t0.25_10_6,3.614552152652922e-14
b1_t0.1_11_5,3.8014463395423305e-14
h1_s_10_6,4.165879361840241e-14
h1_n_b_l_t0.70_11_8,4.201055638502247e-14
e_t0.25_11_1,4.4722670076988795e-14
h1_n_b_m_t0.25_11_6,5.292732370500425e-14
h1_nb_11_6,5.292732370500425e-14
h1_n_b_l_t0.95_11_6,6.475354816490829e-14
m_t0.1_11_0,6.940715811356762e-14
self_11_8,7.454255274506953e-14
b0_t0.25_11_0,7.977633745858564e-14
b1_t0.25_11_6,8.316683988502804e-14
h0_n_d_m_t0.75_11_0,1.0232430103321376e-13
beginning_10_7,1.0706970851583774e-13
c_t0.25_11_10,1.1520179639099615e-13
b1_t0.025_11_2,1.238349877019451e-13
h1_v_11_2,1.2604691656143087e-13
m_t0.5_8_9,1.3300575069406419e-13
h1_n_b_l_t0.70_11_7,2.1183494398010623e-13
v_t0.5_10_3,2.382351612814134e-13
dot_10_5,2.5071280483135425e-13
b1_t0.1_11_6,2.7447102542042083e-13
m_t0.5_11_10,2.840381865889371e-13
v_t0.025_11_3,2.843309220202023e-13
b1_t0.025_10_3,3.184079771757046e-13
k_t0.05_10_10,3.232938469168214e-13
s_t0.025_10_3,3.2376437110666556e-13
h0_t_d_11_6,3.269886151666454e-13
m_t0.05_11_7,3.3576062005185453e-13
e_t0.25_11_11,3.616792697123644e-13
h1_v_10_6,4.0459862239525043e-13
m_t0.75_8_9,4.369622422326915e-13
