feature,p_value
c_t0.05_6_6,0.0007183941445534
v_t0.025_11_9,0.0007209139930508
b1_t0.25_8_8,0.0007213831502331
c_t0.025_11_10,0.0007237700882274
beginning_8_10,0.0007430948308593
e_t0.75_9_9,0.0007641520279429
v_t0.025_4_5,0.0007896123546019
h1_n_b_l_t0.95_8_7,0.0008030054628204
c_t0.1_10_3,0.0008060735477471
e_t0.75_8_7,0.0008110659665746
v_t0.75_7_9,0.0008130593685033
v_t0.75_6_11,0.0008163861473036
h1_e_8_2,0.0008168737609792
h0_n_d_l_t0.25_9_9,0.0008311590105273
b1_t0.25_9_3,0.000831820430068
c_t0.25_10_5,0.0008350229800008
h1_s_7_10,0.0008357371424702
h0_n_d_l_t0.25_8_7,0.0008383739718426
e_t0.5_11_3,0.0008659394324864
e_t0.025_10_7,0.0008834245964596
h1_e_6_1,0.000886363047396
h1_v_10_4,0.0008902037637811
e_t0.05_11_0,0.0008986753750902
b0_t0.75_6_11,0.0009070860572073
h1_nb_8_7,0.0009138461792285
h1_n_b_m_t0.25_8_7,0.0009138461792285
prev_10_7,0.0009210375998397
beginning_8_8,0.0009298797700331
b1_t0.025_7_11,0.0009300837452763
h1_t_b_9_10,0.0009638177247169
beginning_10_8,0.000967527728635
c_t0.025_8_4,0.000981328684211
b0_t0.75_8_8,0.0009855700649573
v_t0.75_5_1,0.0009913382495973
c_t0.025_8_6,0.0009988192263933
h0_t_d_6_11,0.0010274432114352
c_t0.025_10_9,0.0010583807602127
v_t0.05_11_8,0.0010880066905191
b1_t0.1_9_11,0.0011095413978465
v_t0.1_10_3,0.0011117995872997
b1_t0.25_9_2,0.0011129317602645
c_t0.25_10_1,0.001136825355335
h1_n_b_l_t0.95_11_4,0.0011454514118214
v_t0.025_5_11,0.0011717424554678
b1_t0.25_7_11,0.0012040100090295
v_t0.025_7_2,0.0012122112095575
h1_s_11_4,0.0012135813423832
h0_n_d_m_t0.5_7_1,0.0012293575140529
b1_t0.1_8_1,0.0012437513615767
e_t0.05_8_2,0.0012791952671579
h1_n_b_l_t0.70_9_8,0.0013100166602252
b1_t0.05_11_0,0.0013502621595979
c_t0.1_10_5,0.0013597670134507
next_7_3,0.0013635901088796
h1_e_10_4,0.001395412012304
b1_t0.25_7_1,0.00140448948264
v_t0.05_4_5,0.0014195773045999
v_t0.05_7_1,0.0014488989849973
v_t0.5_8_6,0.001468521805164
s_t0.025_9_9,0.0014907134525189
h1_v_11_10,0.0015332365269404
b1_t0.025_8_2,0.0015360027756296
v_t0.05_8_6,0.0015452605877321
prev_9_1,0.0015541288148734
c_t0.05_6_0,0.0015660830890936
h1_t_b_9_3,0.0016773953332441
e_t0.5_10_3,0.0016825863750188
h1_nb_11_4,0.0016866166837359
h1_n_b_m_t0.25_11_4,0.0016866166837359
v_t0.1_8_8,0.0016953245815973
v_t0.75_8_6,0.0017163809925611
v_t0.75_8_1,0.0017285839464731
v_t0.1_9_10,0.0017468855713421
prev_8_1,0.0017523652218795
c_t0.05_5_1,0.0017644236332597
s_t0.025_9_11,0.0017915596747426
c_t0.05_10_7,0.0017947782594284
e_t0.5_10_9,0.001808206915434
c_t0.1_10_2,0.0018178488440499
h0_t_d_7_1,0.001846397579107
v_t0.1_9_2,0.0018623659832746
h1_s_8_7,0.0018776880368759
prev_7_1,0.0018903571636459
self_10_3,0.001936704260427
c_t0.025_9_7,0.0019495874948766
v_t0.5_10_9,0.0019705474441393
b1_t0.25_7_3,0.001998280217654
e_t0.75_6_0,0.0020035678567917
h1_n_b_l_t0.95_11_1,0.0020320653937243
c_t0.1_8_7,0.0020493382831715
b1_t0.25_9_6,0.0020516067970838
b1_t0.1_7_2,0.0020653614023706
c_t0.05_11_8,0.0020692815202486
h1_e_11_4,0.002115863006997
prev_9_9,0.0021448658254875
c_t0.05_7_2,0.0021490921066539
beginning_10_2,0.0021589176460514
v_t0.025_6_6,0.0021731877031095
h0_t_d_10_9,0.0021768394754663
h0_n_d_m_t0.5_8_11,0.0022077293219948
self_8_2,0.0022078781110281
h1_v_8_2,0.0022134791772713
v_t0.05_5_11,0.0022341100858868
v_t0.1_9_6,0.0022547085021308
v_t0.05_9_10,0.0022836817878074
h1_n_b_l_t0.70_5_5,0.0022928748383829
v_t0.1_10_5,0.0023048640431069
v_t0.25_7_2,0.0023290791756383
h1_t_b_9_1,0.0023444797657801
c_t0.1_9_7,0.0023457023439721
prev_10_2,0.0023561937529891
beginning_8_1,0.0024094596747472
v_t0.25_11_10,0.0024469660801542
b1_t0.25_6_4,0.0024621736105907
e_t0.75_8_4,0.002477977820229
h0_n_d_m_t0.75_11_9,0.0024954469886831
e_t0.25_5_10,0.0025165919665593
h0_e_8_0,0.0026400640130105
v_t0.025_5_7,0.0026553679002949
b0_t0.25_11_9,0.0026994932686339
b0_t0.5_8_11,0.0027087253658056
beginning_7_2,0.002754777511956
h1_s_5_5,0.0027761523244026
b0_t0.5_7_4,0.0028333696319695
v_t0.25_11_2,0.002834160518827
v_t0.025_8_3,0.0028868151984666
v_t0.05_6_9,0.0028884275322144
v_t0.75_10_8,0.0029123286078217
h0_n_d_m_t0.5_7_9,0.0029158204175305
h0_n_d_m_t0.5_7_4,0.002919363547972
h1_n_b_l_t0.95_7_10,0.0029434745583206
h1_nb_7_10,0.0029616626069983
h1_n_b_m_t0.25_7_10,0.0029616626069983
beginning_10_3,0.0030146728411191
b1_t0.25_9_1,0.0030427894949268
h0_n_d_l_t0.25_6_0,0.0030489848619342
c_t0.1_7_7,0.0031187219448538
h1_n_b_l_t0.95_9_4,0.0031466893412074
b1_t0.25_5_11,0.0031616168875088
e_t0.75_10_8,0.0032135985269679
e_t0.5_10_8,0.0032183647598285
b0_t0.5_9_3,0.0032476342414227
h0_n_d_m_t0.5_9_3,0.0033236641788185
v_t0.5_9_1,0.0033603810431488
b0_t0.75_7_2,0.0033632420512918
h1_t_b_9_6,0.0034169434694167
b1_t0.5_10_8,0.0034328118175116
v_t0.1_11_7,0.0034733463208897
h1_e_8_7,0.0035193905746933
h1_s_9_6,0.0035426151086976
s_t0.025_4_10,0.0035650277669194
h1_n_b_m_t0.25_9_4,0.0036238111685728
h1_nb_9_4,0.0036238111685728
next_6_4,0.0036585271745485
v_t0.025_4_4,0.0036749024112941
dot_4_4,0.0036797888808192
v_t0.5_7_9,0.0037380460788879
b1_t0.05_6_11,0.0038237629253921
h0_n_d_l_t0.25_8_4,0.0038241026884957
v_t0.05_6_6,0.0038376971446236
v_t0.5_5_7,0.0038698344171852
v_t0.05_6_1,0.0039135541890678
e_t0.75_8_1,0.0039282520786597
h0_n_d_l_t0.25_8_1,0.0039349116629995
c_t0.05_9_5,0.0039443924944859
h1_t_b_10_3,0.0039472431406303
s_t0.025_10_7,0.0039547767386656
b1_t0.1_8_7,0.003985995501919
h1_v_11_4,0.003989320823724
prev_10_3,0.004081453935799
e_t0.025_8_2,0.0041097826089812
s_t0.025_8_2,0.0041168187429837
beginning_8_9,0.004116982845915
h1_v_8_7,0.0041246581863114
h1_t_b_5_11,0.0041592805857547
b0_t0.5_10_6,0.00416296168446
h0_n_d_m_t0.75_7_9,0.0041839575679757
b0_t0.5_7_9,0.0041861871732924
v_t0.1_6_11,0.0041989595659506
v_t0.05_9_1,0.0042002978660957
h0_t_d_10_1,0.0042472177251202
h1_v_9_8,0.0042684508163196
h1_e_9_8,0.0042776068516728
h1_n_b_m_t0.25_9_6,0.0042817781000852
h1_nb_9_6,0.0042817781000852
c_t0.025_7_1,0.0042894203843919
h0_n_d_m_t0.5_10_6,0.0044656396637759
c_t0.25_10_10,0.0044777079294501
v_t0.25_9_5,0.0045106000115159
e_t0.5_10_4,0.0045245601586479
c_t0.25_11_0,0.0045674808860209
prev_7_10,0.0046551261965555
c_t0.025_7_10,0.0046563767620378
beginning_11_9,0.0047250526363319
e_t0.5_10_1,0.0047567678098596
b0_t0.25_11_8,0.0047843513863678
v_t0.1_11_5,0.0047860748291848
next_7_4,0.0048245959143585
c_t0.05_11_2,0.0048624409127829
h0_n_d_m_t0.5_9_9,0.0049100698367367
b0_t0.5_9_9,0.0049280381488156
h1_v_10_1,0.0049334151176358
next_7_9,0.0050129591120507
h0_n_d_m_t0.75_11_8,0.0050187625148798
b0_t0.25_7_9,0.0051143428039723
b1_t0.75_10_8,0.0052118374461563
c_t0.75_10_8,0.0052118374461563
c_t0.1_6_0,0.0052715699065971
h0_t_d_8_11,0.0052953609970571
h1_s_10_3,0.0053425611634333
h1_n_b_l_t0.95_9_6,0.0054050915205217
v_t0.75_8_5,0.0054384788026845
b1_t0.1_6_11,0.0054564836458014
b0_t0.75_9_6,0.0055069357833429
c_t0.05_8_4,0.0055923116453514
e_t0.5_11_5,0.0057887866318404
b0_t0.75_7_3,0.0058254780042832
e_t0.75_10_5,0.0059550155387253
h0_n_d_l_t0.25_10_5,0.0059550155387253
v_t0.75_10_5,0.0059959528244382
h1_n_b_l_t0.70_8_7,0.0059973457756156
c_t0.05_7_10,0.006065728368246
v_t0.5_11_5,0.0060725348013943
h1_t_b_10_0,0.0061788902662226
e_t0.025_11_0,0.0061914660508444
h1_n_b_l_t0.70_8_11,0.0062280888257536
h0_s_7_11,0.0063078159932391
self_9_9,0.0063820646794228
h1_t_b_11_10,0.0064030656700864
v_t0.05_8_5,0.0064548747408227
c_t0.05_11_4,0.006507393081112
s_t0.025_10_9,0.0065559285257046
h1_t_b_7_4,0.006764927360754
prev_10_5,0.0068720142705314
c_t0.1_8_9,0.0069666894150566
next_8_0,0.0069876640802796
h1_s_7_4,0.0070115138142042
v_t0.05_9_2,0.0070193299911701
v_t0.025_7_1,0.0070251087572019
h1_n_b_m_t0.25_7_4,0.0071813954138701
h1_n_b_l_t0.95_7_4,0.0071813954138701
h1_nb_7_4,0.0071813954138701
b1_t0.025_10_4,0.007382072343991
v_t0.5_11_2,0.007430220326801
c_t0.1_5_2,0.0076070710770602
b1_t0.25_9_11,0.0076576158982659
v_t0.05_4_9,0.0076592209524901
h0_n_d_m_t0.5_8_9,0.0077533397019985
h0_n_d_m_t0.75_9_0,0.0078002662134418
h1_s_8_0,0.0078435752784454
v_t0.025_4_9,0.0078476600952719
b1_t0.25_7_4,0.0079266730941494
h0_n_d_m_t0.75_8_10,0.0079513780396219
h1_nb_10_3,0.008020174552214
h1_n_b_m_t0.25_10_3,0.008020174552214
h0_n_d_m_t0.75_11_4,0.008065317234637
e_t0.5_4_6,0.0080907280794191
self_8_7,0.0081054942462677
h1_v_11_9,0.0081170951309754
prev_11_3,0.0081237320944661
h0_t_d_8_1,0.0081511845631938
b0_t0.5_8_1,0.0082965520503361
b0_t0.25_11_4,0.0083106170187885
b1_t0.1_7_6,0.0083600508080252
h1_t_b_8_7,0.0083808605164933
v_t0.25_4_9,0.0083853512541339
b0_t0.25_9_3,0.0083943890288984
b0_t0.5_8_9,0.0084134393315654
v_t0.1_5_2,0.0084921067222875
b0_t0.25_8_10,0.0086024586862262
h0_t_d_9_6,0.0086970086110789
v_t0.25_11_8,0.0087300406220262
b1_t0.05_7_9,0.0087613389750061
next_7_7,0.0088431140282002
b0_t0.75_7_1,0.0088652286162001
beginning_7_7,0.0089078098975444
b1_t0.025_10_3,0.0091425324797099
h0_n_d_m_t0.75_5_11,0.0091667960441479
c_t0.025_8_8,0.0091673028649374
v_t0.75_10_0,0.0091674114871974
v_t0.05_11_9,0.0092931995819806
c_t0.05_10_5,0.0094058863964821
b1_t0.1_8_4,0.0094505809096395
h0_n_d_m_t0.5_8_1,0.0094788653045507
b1_t0.5_7_10,0.009493297343581
c_t0.5_7_10,0.009493297343581
v_t0.05_5_4,0.0095494185686769
h1_n_b_l_t0.95_10_3,0.0095799821000669
dot_7_10,0.0096299145270181
s_t0.025_11_10,0.0098057647143277
h0_n_d_m_t0.75_6_0,0.0098104317939033
s_t0.025_11_2,0.0098603380267526
v_t0.5_11_7,0.009957132732025
b1_t0.1_6_7,0.0100985767615886
h0_t_d_11_4,0.0103282532709519
v_t0.025_8_5,0.0104501073305432
v_t0.025_3_1,0.0104568603170248
h0_t_d_5_1,0.0104680900328838
h0_n_d_m_t0.75_9_3,0.0105145604891567
v_t0.25_6_6,0.0105194279439282
b0_t0.5_10_0,0.0105202033644085
h1_v_11_11,0.0105468110754679
h1_t_b_9_0,0.010557345873125
b1_t0.05_8_10,0.010608358645533
b1_t0.25_7_2,0.01075796200823
b0_t0.25_5_11,0.0107778923344235
prev_8_8,0.010813928269182
h0_n_d_l_t0.25_6_6,0.0108544328317421
e_t0.75_6_6,0.0108544328317421
h0_n_d_l_t0.25_8_9,0.0109127274958374
e_t0.75_8_9,0.0109127274958374
v_t0.05_7_6,0.0109132808691509
self_10_4,0.0109423148071552
v_t0.25_4_2,0.0109460350602493
h1_v_11_6,0.0111393962328193
e_t0.75_10_0,0.011180886648046
h0_n_d_m_t0.5_10_0,0.0112444863338766
c_t0.025_9_5,0.0112924651205
e_t0.5_9_3,0.0114969595780167
v_t0.25_5_10,0.0115878533785854
h0_n_d_m_t0.5_9_11,0.0116947482292313
e_t0.75_6_1,0.0117300563880543
h0_n_d_l_t0.25_6_1,0.0117300563880543
v_t0.025_5_4,0.0117723847646793
c_t0.05_11_0,0.0119122922723779
b0_t0.5_9_11,0.0119505901708586
h1_v_7_10,0.0122846580506795
h1_n_b_l_t0.95_10_8,0.0123013861913213
h0_n_d_l_t0.25_3_1,0.0123052567479616
e_t0.25_11_4,0.0123124245473455
e_t0.25_9_5,0.0123845791384143
b0_t0.25_6_0,0.0124785658078541
b0_t0.25_9_0,0.0125136373816813
c_t0.25_10_4,0.0125151843062351
b1_t0.1_9_1,0.0125167569046689
beginning_10_6,0.012565671160042
e_t0.1_8_2,0.0130757783610321
v_t0.75_4_4,0.0131406693808354
v_t0.25_9_4,0.0132900972024933
c_t0.25_5_8,0.0134232527163967
h1_s_9_4,0.0134494237781988
b0_t0.75_8_5,0.0134552602904615
beginning_8_7,0.0134856480834082
v_t0.1_8_5,0.0136479439236255
h0_n_d_l_t0.25_3_10,0.0137438813836191
e_t0.75_3_10,0.0137438813836191
h1_t_b_11_5,0.0137543815469825
h1_t_b_10_8,0.013858216603579
b1_t0.1_7_3,0.0139817591132919
v_t0.05_4_8,0.0140874926692399
v_t0.75_3_10,0.0141295381644137
b1_t0.025_9_8,0.0142067721252931
v_t0.75_10_2,0.0142090357457941
e_t0.75_3_1,0.014223998172886
h1_e_7_11,0.0142784489046423
h1_v_7_11,0.0142784489046423
h0_n_d_l_t0.25_10_2,0.0144630823230777
h0_n_d_l_t0.25_9_4,0.0144754892486781
c_t0.05_8_9,0.0146228032392934
e_t0.75_10_2,0.0146281739113295
h0_t_d_8_7,0.0147726564427393
h1_n_b_l_t0.70_7_2,0.0147953463405325
v_t0.25_8_4,0.0147960237300023
beginning_6_4,0.0150241231897256
e_t0.5_10_6,0.0151871373693728
h1_s_10_8,0.0153361425293232
b1_t0.1_8_3,0.0154961228017987
b0_t0.25_5_1,0.0155708944645385
e_t0.75_7_0,0.0156858758845112
h1_n_b_m_t0.25_10_8,0.0157468197768533
h1_nb_10_8,0.0157468197768533
v_t0.5_7_3,0.0166490244705154
h1_t_b_11_0,0.0166666471886233
e_t0.5_5_7,0.016688555558459
