,0,Syntax,Hallucination,Semantics,Morphology,All
0,0.20515237726824112,0.20397389342580188,0.19455188270338555,0.19176537562609552,0.2040459051302642,0.2040405578185384
1,0.2762769239515485,0.2712232081055453,0.27422128275249347,0.25840371607276397,0.2563530146687978,0.27735689681931647
2,0.3094890723502884,0.30424525618226883,0.31005587794046136,0.2821955053952908,0.28877021885916265,0.3163237673098407
3,0.3425947129446089,0.341944903959287,0.34158673478608154,0.34375256255100606,0.33245837949672746,0.3429161184353826
4,0.37742471979276493,0.3778649980314448,0.3826932481411265,0.3804984008261367,0.36316345064453137,0.38467046689084294
5,0.4010030716172042,0.38887984085360344,0.40206043118101503,0.38275982375143985,0.38821836289545103,0.4001031946954107
6,0.39964906362452757,0.3993856006444618,0.4163733837046301,0.3846428288394614,0.408535916972101,0.40408574570045275
7,0.4245388495098943,0.42423166789420125,0.4537344468625529,0.3889244042354581,0.4217992468272962,0.43418384467423315
8,0.46068805154103226,0.4811714972838632,0.4885827172353205,0.4512346114694718,0.4758331501158178,0.47523469525778
9,0.4673490729384686,0.47584864163940105,0.5096175481176367,0.4723090843808056,0.4738633264296292,0.4759994056863748
10,0.5209294832165409,0.5413986036290752,0.5359521006837684,0.4889986880270237,0.5043465015132145,0.5267282377009338
11,0.5609819844225242,0.5788243113469469,0.5741285385854833,0.5506151620345618,0.5709224824022229,0.5653390820286416
