,Sem  Violation,Infl/Agr Violation,Extra/Mising Expr,Correct,Syntax,All
0,0.00513900863006711,0.0026491326,0.005206810776144266,0.0064233625,0.0064664497040212154,0.0064233625
1,0.0025093984943602913,0.0051687146,0.014550116815371439,0.012045673,0.0029495248600142077,0.012045673
2,0.027161693200469017,0.030787047,0.04120178893208504,0.033477154,0.018952669575810432,0.033477154
3,0.0052545231174835035,0.0027303172,0.006742625031620264,0.020975133,0.0138499780531068,0.020975133
4,0.0334676057100296,0.028670743,0.021792897954583168,0.03414108,0.022082922980189323,0.03414108
5,0.026839684695005417,0.06790464,0.02262543886899948,0.06633863,0.052835699170827866,0.06633863
6,0.07210782170295715,0.09825752,0.06910154223442078,0.11402746,0.07380170375108719,0.11402746
7,0.03829001635313034,0.015123188,0.02658854052424431,0.029498968,0.03315490111708641,0.029498968
8,0.0890985056757927,0.12205271,0.08202087879180908,0.13145652,0.10577636957168579,0.13145652
9,0.3266027271747589,0.4953436,0.19912762939929962,0.47309554,0.12314680218696594,0.47303608
10,0.4156986474990845,0.5788875,0.1530679315328598,0.22369286,0.22069889307022095,0.22369286
11,0.2113696038722992,0.37802154,0.05603771284222603,0.119743094,0.0474095344543457,0.119743094
