,0
b1_t0.1_10_3,5.275486708887994e-07
h1_e_9_4,5.6220287580312e-07
h1_n_b_l_t0.95_9_4,6.142597101714073e-07
s_t0.025_11_5,6.667769200630809e-07
h1_n_b_m_t0.25_9_4,6.708887339331125e-07
h1_nb_9_4,6.708887339331125e-07
h0_t_d_10_3,6.800784939026427e-07
c_t0.5_7_5,7.166400978378553e-07
self_9_9,7.359584516456653e-07
c_t0.05_10_3,7.441620290699404e-07
k_t0.1_9_4,7.479763012380909e-07
next_9_5,7.660432430982267e-07
dot_11_5,7.786695293092988e-07
self_11_7,8.122077184443989e-07
b1_t0.5_7_5,8.480590522530569e-07
c_t0.1_10_3,9.518859052472344e-07
b1_t0.25_9_7,9.687935118785619e-07
h1_t_b_10_3,1.0068779778478411e-06
e_t0.75_11_0,1.0392932034466775e-06
b0_t0.75_9_5,1.1182923227359474e-06
b1_t0.25_10_8,1.1192528275505207e-06
e_t0.1_10_3,1.153998544805779e-06
c_t0.25_7_1,1.155321691356868e-06
beginning_8_3,1.2871441432295418e-06
dot_9_1,1.3000551267629115e-06
self_9_7,1.5166510376947713e-06
b0_t0.25_9_7,1.6240373556674085e-06
v_t0.1_7_0,1.6779950166936929e-06
h1_t_b_11_0,1.8207672930930746e-06
prev_11_7,1.8426509540090447e-06
b1_t0.1_11_5,1.928576976794598e-06
m_t0.5_10_10,1.9334340651840736e-06
c_t0.75_2_4,1.952038591310034e-06
b1_t0.75_2_4,1.952038591310034e-06
e_t0.5_10_9,2.048960819973839e-06
k_t0.05_11_0,2.0597488199628945e-06
h0_n_d_m_t0.75_9_7,2.1638833130638524e-06
b0_t0.1_11_0,2.378872904291613e-06
beginning_8_8,2.4496187740472127e-06
m_t0.75_9_9,2.480318850008375e-06
b1_t0.025_11_5,2.7723655260071773e-06
b1_t0.05_9_5,2.8237684467049276e-06
e_t0.5_10_10,3.1376536257636183e-06
e_t0.05_9_5,3.327099076847102e-06
m_t0.5_10_4,3.4926765281984433e-06
s_t0.05_11_5,3.5465582484187174e-06
k_t0.1_11_11,3.561559787422586e-06
self_10_8,3.864075589483172e-06
c_t0.5_8_2,4.306542570505656e-06
self_11_11,4.314248579609413e-06
h0_t_d_9_7,4.352591870772533e-06
v_t0.5_10_9,4.370926046026373e-06
sep_9_3,4.42120636118728e-06
v_t0.5_10_10,4.5381191629975e-06
c_t0.25_9_9,4.738362029020533e-06
b1_t0.5_8_2,4.7560955841937115e-06
c_t0.25_8_9,4.9891736196634146e-06
c_t0.025_9_8,5.055363019466212e-06
beginning_8_10,5.233924023368972e-06
self_11_9,5.553484061666272e-06
sep_9_1,5.6633436360619435e-06
c_t0.05_11_5,5.796427547905475e-06
prev_11_2,6.1494804803084535e-06
c_t0.25_10_8,6.353501519544021e-06
beginning_10_5,6.575700688974904e-06
e_t0.5_11_0,6.742012093670519e-06
e_t0.25_9_7,6.946905829869671e-06
h0_n_d_l_t0.25_9_9,7.233260408078103e-06
e_t0.5_10_3,7.4576390053043875e-06
b1_t0.5_10_9,7.591678876352564e-06
b1_t0.1_9_5,7.73568524877791e-06
m_t0.025_11_5,8.0575140515598e-06
b0_t0.5_10_3,8.224721930057296e-06
h0_n_d_m_t0.5_10_3,9.01173473583873e-06
dot_9_3,9.1180854919649e-06
h0_n_d_m_t0.5_9_4,9.387134931221099e-06
dot_10_5,1.0172337314784132e-05
c_t0.025_9_5,1.0502848278112306e-05
c_t0.5_10_9,1.0668713966590546e-05
m_t0.1_10_3,1.0843971617968273e-05
sep_8_10,1.1138027783340906e-05
m_t0.25_11_11,1.158923327191625e-05
h0_t_d_10_1,1.1800395750210838e-05
c_t0.025_11_5,1.2139417126133703e-05
beginning_11_11,1.2341756518711939e-05
b0_t0.5_9_4,1.2501342350395988e-05
k_t0.1_10_8,1.2783463901659506e-05
c_t0.025_10_2,1.2978511389980853e-05
v_t0.025_11_8,1.3714763643033666e-05
b1_t0.5_9_1,1.3994569161190756e-05
e_t0.75_9_9,1.4906810473850942e-05
h1_t_b_11_5,1.502660191964284e-05
dot_9_8,1.5371423186067558e-05
b0_t0.5_10_8,1.5553520246983116e-05
c_t0.05_9_8,1.5554508136809553e-05
h0_n_d_m_t0.5_10_8,1.6475016957430307e-05
h0_s_9_5,1.740788818001488e-05
next_9_1,1.744491428717131e-05
c_t0.1_9_5,1.7518792507334823e-05
c_t0.5_9_1,1.7519393549661145e-05
v_t0.5_10_4,1.753537035965755e-05
beginning_8_11,1.779564306920488e-05
dot_8_2,1.8167710304877586e-05
v_t0.75_9_9,1.8182595074003233e-05
m_t0.5_10_8,1.8473035878587957e-05
h1_n_b_l_t0.70_9_7,1.8779834683757486e-05
c_t0.75_9_4,1.895572158957214e-05
b1_t0.75_9_4,1.895572158957214e-05
sep_8_8,2.0759416052940037e-05
c_t0.1_9_0,2.1393707297051528e-05
c_t0.1_9_7,2.2556883338523803e-05
e_t0.5_10_4,2.3219091077958878e-05
c_t0.25_9_5,2.6201112918609025e-05
next_9_0,2.778811105384695e-05
sep_8_5,2.7862498699670564e-05
v_t0.75_10_9,2.930585779903298e-05
sep_9_2,3.178445738201799e-05
b1_t0.025_11_8,3.261330686232128e-05
h0_t_d_7_5,3.6155109475348866e-05
v_t0.1_10_9,3.8121381034439775e-05
e_t0.025_9_5,3.8311235911575166e-05
e_t0.025_11_5,3.858584404375912e-05
c_t0.25_3_7,3.90089729644715e-05
dot_8_9,4.141770157762716e-05
self_9_1,4.21496004866808e-05
c_t0.5_9_6,4.254490511768649e-05
b1_t0.5_9_6,4.254490511768649e-05
b0_t0.75_11_5,4.3123620789657026e-05
sep_11_0,4.4542849363427256e-05
next_9_4,4.5491082249424226e-05
dot_11_4,4.705975101972091e-05
dot_10_7,4.803388822186071e-05
h1_t_b_9_4,4.8397275329588566e-05
e_t0.05_10_3,4.984853930249998e-05
sep_9_9,5.201999525239556e-05
v_t0.05_9_4,5.306466369605121e-05
sep_8_3,5.4077125652299665e-05
h0_s_10_8,5.662994206524006e-05
h0_t_d_8_2,5.7077047788757885e-05
v_t0.1_9_4,5.826554180794815e-05
k_t0.1_11_0,5.889975262044648e-05
h0_n_d_l_t0.25_9_4,5.8956330004149186e-05
e_t0.05_11_5,6.126496585334837e-05
dot_11_8,6.245827515517522e-05
h0_s_10_3,6.258849052963951e-05
sep_8_9,6.286416116821078e-05
v_t0.1_8_1,6.387644953308e-05
self_7_5,6.801869029934341e-05
self_9_4,6.987620596187782e-05
v_t0.1_8_10,7.202453947918471e-05
e_t0.75_10_9,7.287119427810226e-05
sep_9_4,7.606241527705294e-05
sep_9_11,7.70667674442495e-05
beginning_8_0,7.845739116436212e-05
self_11_8,8.001858217862176e-05
c_t0.5_9_9,8.011069930563447e-05
next_11_7,8.36244957856986e-05
c_t0.5_9_4,8.474056306650356e-05
b1_t0.5_9_4,8.474056306650356e-05
e_t0.25_10_2,8.613616597162543e-05
m_t0.5_11_11,8.638622272592873e-05
m_t0.75_9_4,9.02588834606496e-05
c_t0.025_11_9,9.156217411456893e-05
dot_8_10,0.00010489614679813674
v_t0.025_11_9,0.00010587854310663992
h0_t_d_9_4,0.00010822801506264619
v_t0.5_10_1,0.0001095456314192031
prev_10_3,0.0001103104056858765
v_t0.05_10_1,0.00011381996763552709
sep_9_7,0.00012435313767826883
sep_11_5,0.00012666389740513773
h1_v_9_4,0.00013138670414520397
h1_s_9_1,0.00013174304121824255
b1_t0.025_9_5,0.00013496026212939813
b1_t0.5_9_9,0.00013638238775392163
beginning_9_10,0.0001373613186558994
c_t0.25_9_7,0.0001392277026555612
k_t0.25_9_7,0.0001407233324524697
e_t0.05_9_7,0.0001414194960000647
sep_10_2,0.00014721048132273985
sep_11_8,0.0001548419522303878
beginning_9_9,0.0001558732248772717
v_t0.025_7_8,0.00016066245792463235
b0_t0.5_7_0,0.00016144717163624358
c_t0.025_11_8,0.00016382246613376211
b0_t0.5_8_10,0.00016715275525988773
dot_7_5,0.00017721946805299604
e_t0.5_10_1,0.00017782816554402713
h0_n_d_m_t0.5_7_0,0.00018233992149730625
beginning_8_2,0.00018373242217361476
